frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551359847.750369418,192.168.10.102,192.168.10.105,39431,5683,12,69,0,3259,,
1551359847.750537177,192.168.10.105,192.168.10.102,5683,39431,12,0,2,3259,,
1551359848.751922052,192.168.10.102,192.168.10.104,56576,5683,12,69,0,40778,,
1551359848.752123807,192.168.10.104,192.168.10.102,5683,56576,12,0,2,40778,,
1551359848.752371086,192.168.10.102,192.168.10.105,48590,5683,12,69,0,45913,,
1551359848.752583587,192.168.10.105,192.168.10.102,5683,48590,12,0,2,45913,,
1551359849.754149461,192.168.10.102,192.168.10.104,34987,5683,12,69,0,33919,,
1551359849.754620163,192.168.10.104,192.168.10.102,5683,34987,12,0,2,33919,,
1551359849.755617704,192.168.10.102,192.168.10.105,54175,5683,12,69,0,59777,,
1551359849.756424047,192.168.10.105,192.168.10.102,5683,54175,12,0,2,59777,,
1551359850.758288183,192.168.10.102,192.168.10.104,34727,5683,12,69,0,12103,,
1551359850.758920279,192.168.10.104,192.168.10.102,5683,34727,12,0,2,12103,,
1551359850.759006324,192.168.10.105,192.168.10.102,44122,5683,37,3,0,15269,,/floor_1_light
1551359850.759694371,192.168.10.102,192.168.10.105,35912,5683,12,69,0,58074,,
1551359851.760689761,192.168.10.102,192.168.10.105,5683,44122,12,133,2,15269,,
1551359851.761041025,192.168.10.105,192.168.10.102,5683,35912,12,0,2,58074,,
1551359851.761471298,192.168.10.102,192.168.10.104,59053,5683,12,69,0,2076,,
1551359851.762018606,192.168.10.104,192.168.10.102,5683,59053,12,0,2,2076,,
1551359851.762782138,192.168.10.102,192.168.10.105,40052,5683,12,69,0,62120,,
1551359851.763225375,192.168.10.105,192.168.10.102,5683,40052,12,0,2,62120,,
1551359852.764735360,192.168.10.102,192.168.10.104,52555,5683,12,69,0,33708,,
1551359852.765398578,192.168.10.104,192.168.10.102,5683,52555,12,0,2,33708,,
1551359852.765771140,192.168.10.102,192.168.10.105,50908,5683,12,69,0,45955,,
1551359852.767216072,192.168.10.105,192.168.10.102,5683,50908,12,0,2,45955,,
1551359853.768794304,192.168.10.102,192.168.10.104,42058,5683,12,69,0,56745,,
1551359853.769308023,192.168.10.104,192.168.10.102,5683,42058,12,0,2,56745,,
1551359853.769925042,192.168.10.102,192.168.10.105,37077,5683,12,69,0,14597,,
1551359853.770468800,192.168.10.105,192.168.10.102,5683,37077,12,0,2,14597,,
1551359854.772409329,192.168.10.102,192.168.10.104,33070,5683,12,69,0,39867,,
1551359854.772886034,192.168.10.104,192.168.10.102,5683,33070,12,0,2,39867,,
1551359854.773815170,192.168.10.102,192.168.10.105,56817,5683,12,69,0,21918,,
1551359854.773933036,192.168.10.104,192.168.10.102,56106,5683,29,3,0,65200,,/floor_1_temp
1551359854.774372288,192.168.10.105,192.168.10.102,5683,56817,12,0,2,21918,,
1551359854.774603197,192.168.10.102,192.168.10.104,5683,56106,12,68,2,65200,,
1551359854.775289752,192.168.10.102,192.168.10.104,36829,5683,12,69,0,36453,,
1551359854.775665687,192.168.10.104,192.168.10.102,5683,36829,12,0,2,36453,,
1551359854.776397662,192.168.10.102,192.168.10.105,58230,5683,12,69,0,57726,,
1551359854.776586541,192.168.10.104,192.168.10.102,56485,5683,29,3,0,51441,,/floor_1_temp
1551359854.776904492,192.168.10.105,192.168.10.102,5683,58230,12,0,2,57726,,
1551359854.777109914,192.168.10.102,192.168.10.104,5683,56485,12,68,2,51441,,
1551359854.777740793,192.168.10.102,192.168.10.104,33792,5683,12,69,0,25844,,
1551359854.778095838,192.168.10.105,192.168.10.102,33005,5683,38,3,0,36503,,/floor_1_light
1551359854.778156050,192.168.10.104,192.168.10.102,5683,33792,12,0,2,25844,,
1551359854.778902442,192.168.10.102,192.168.10.105,36353,5683,12,69,0,24860,,
1551359855.779703266,192.168.10.102,192.168.10.105,5683,33005,12,133,2,36503,,
1551359855.780072061,192.168.10.105,192.168.10.102,5683,36353,12,0,2,24860,,
1551359855.780454560,192.168.10.102,192.168.10.104,55938,5683,12,69,0,46396,,
1551359855.781079686,192.168.10.104,192.168.10.102,5683,55938,12,0,2,46396,,
1551359855.781269561,192.168.10.105,192.168.10.102,44195,5683,37,3,0,62597,,/floor_1_light
1551359855.781771273,192.168.10.102,192.168.10.105,39749,5683,12,69,0,28357,,
1551359856.782824158,192.168.10.102,192.168.10.105,5683,44195,12,133,2,62597,,
1551359856.784057244,192.168.10.102,192.168.10.104,46042,5683,12,69,0,17590,,
1551359856.784405968,192.168.10.105,192.168.10.102,5683,39749,12,0,2,28357,,
1551359856.784631171,192.168.10.104,192.168.10.102,5683,46042,12,0,2,17590,,
1551359856.785185314,192.168.10.102,192.168.10.105,41885,5683,12,69,0,50147,,
1551359856.785515098,192.168.10.105,192.168.10.102,5683,41885,12,0,2,50147,,
1551359857.787012925,192.168.10.102,192.168.10.104,45256,5683,12,69,0,16110,,
1551359857.787759803,192.168.10.104,192.168.10.102,5683,45256,12,0,2,16110,,
1551359857.788613720,192.168.10.102,192.168.10.105,55092,5683,12,69,0,60722,,
1551359857.789222447,192.168.10.105,192.168.10.102,5683,55092,12,0,2,60722,,
1551359858.791061894,192.168.10.102,192.168.10.104,54030,5683,12,69,0,18694,,
1551359858.791578823,192.168.10.104,192.168.10.102,5683,54030,12,0,2,18694,,
1551359858.792309567,192.168.10.102,192.168.10.105,52641,5683,12,69,0,38807,,
1551359858.792863595,192.168.10.105,192.168.10.102,5683,52641,12,0,2,38807,,
1551359859.794840436,192.168.10.102,192.168.10.104,48327,5683,12,69,0,33986,,
1551359859.795358491,192.168.10.104,192.168.10.102,5683,48327,12,0,2,33986,,
1551359859.796075044,192.168.10.102,192.168.10.105,42689,5683,12,69,0,54796,,
1551359859.796687742,192.168.10.105,192.168.10.102,5683,42689,12,0,2,54796,,
1551359860.797562612,192.168.10.102,192.168.10.104,45259,5683,12,69,0,47314,,
1551359860.797915073,192.168.10.104,192.168.10.102,5683,45259,12,0,2,47314,,
1551359860.798463791,192.168.10.102,192.168.10.105,51488,5683,12,69,0,31821,,
1551359860.798780967,192.168.10.105,192.168.10.102,5683,51488,12,0,2,31821,,
