frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551283953.398533237,192.168.10.102,192.168.10.104,5683,50158,12,68,2,4046,,
1551283953.399037303,192.168.10.104,192.168.10.102,5683,46737,12,0,2,30790,,
1551283953.399164031,192.168.10.102,192.168.10.105,34528,5683,12,69,0,10011,,
1551283953.399653651,192.168.10.105,192.168.10.102,5683,34528,12,0,2,10011,,
1551283954.401053959,192.168.10.102,192.168.10.104,52606,5683,12,69,0,33267,,
1551283954.401241045,192.168.10.102,192.168.10.105,47298,5683,12,69,0,61166,,
1551283954.401551139,192.168.10.104,192.168.10.102,5683,52606,12,0,2,33267,,
1551283954.402025186,192.168.10.105,192.168.10.102,50143,5683,38,3,0,41835,,/floor_1_light
1551283955.402565136,192.168.10.102,192.168.10.105,5683,50143,12,68,2,41835,,
1551283955.403365721,192.168.10.102,192.168.10.105,50481,5683,12,69,0,12806,,
1551283955.403428853,192.168.10.105,192.168.10.102,5683,47298,12,0,2,61166,,
1551283955.403516485,192.168.10.102,192.168.10.104,43719,5683,12,69,0,50105,,
1551283955.403852562,192.168.10.105,192.168.10.102,5683,50481,12,0,2,12806,,
1551283955.403996981,192.168.10.104,192.168.10.102,5683,43719,12,0,2,50105,,
1551283956.405906730,192.168.10.102,192.168.10.105,55622,5683,12,69,0,52196,,
1551283956.405937339,192.168.10.102,192.168.10.104,46765,5683,12,69,0,61286,,
1551283956.406440764,192.168.10.105,192.168.10.102,5683,55622,12,0,2,52196,,
1551283956.406449181,192.168.10.104,192.168.10.102,5683,46765,12,0,2,61286,,
1551283957.408328223,192.168.10.102,192.168.10.104,49348,5683,12,69,0,33306,,
1551283957.408554671,192.168.10.102,192.168.10.105,42829,5683,12,69,0,55538,,
1551283957.409059488,192.168.10.105,192.168.10.102,5683,42829,12,0,2,55538,,
1551283957.409262126,192.168.10.104,192.168.10.102,51233,5683,29,3,0,30367,,/floor_1_temp
1551283957.409379351,192.168.10.102,192.168.10.104,5683,51233,12,68,2,30367,,
1551283957.409772286,192.168.10.104,192.168.10.102,5683,49348,12,0,2,33306,,
1551283958.411295386,192.168.10.102,192.168.10.105,36955,5683,12,69,0,5376,,
1551283958.411695170,192.168.10.102,192.168.10.104,55047,5683,12,69,0,16640,,
1551283958.411852578,192.168.10.105,192.168.10.102,5683,36955,12,0,2,5376,,
1551283958.412207007,192.168.10.104,192.168.10.102,5683,55047,12,0,2,16640,,
1551283959.413864741,192.168.10.102,192.168.10.105,47863,5683,12,69,0,4636,,
1551283959.414104368,192.168.10.102,192.168.10.104,34560,5683,12,69,0,8813,,
1551283959.414362618,192.168.10.105,192.168.10.102,5683,47863,12,0,2,4636,,
1551283959.414606907,192.168.10.104,192.168.10.102,5683,34560,12,0,2,8813,,
1551283960.416462160,192.168.10.102,192.168.10.105,43107,5683,12,69,0,34788,,
1551283960.416525066,192.168.10.102,192.168.10.104,54494,5683,12,69,0,3877,,
1551283960.416984912,192.168.10.105,192.168.10.102,42093,5683,37,3,0,32992,,/floor_1_light
1551283960.417029517,192.168.10.104,192.168.10.102,5683,54494,12,0,2,3877,,
1551283961.417785801,192.168.10.102,192.168.10.105,5683,42093,12,68,2,32992,,
1551283961.418460163,192.168.10.102,192.168.10.105,45933,5683,12,69,0,49396,,
1551283961.418495480,192.168.10.105,192.168.10.102,5683,43107,12,0,2,34788,,
1551283961.418906565,192.168.10.102,192.168.10.104,50139,5683,12,69,0,16189,,
